英文标题,计量单位,每组重量,每组数量,上货单价（美金）,颜色(英文),材料(英文),大小,孔大小,厚度,上货说明,速卖通类别ID,分组ID,品牌,型号,产品关键词,是否打包销售,材质,首饰配件类型,image_tag,图片
"Cotton Silver Polishing Cloth, 82x82x0.6mm, 50Bags/Lot, 1PC/Bag, Sold By Lot",100000015,52,200,3.47,red,Acrylic,82x82x0.6mm,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,91026113103,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1256527506wenyuting.jpg""/>",/1256527506wenyuting.jpg
"UV Plating Acrylic Beads, Flat Round, different size for choice &amp; Customized &amp; two tone, Hole:Approx 2mm, Sold By PC",100000015,52,200,3.47,red,Acrylic,,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140118184017,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1390039509586755_533.jpg""/>",/1390039509586755_533.jpg
"UV Plating Acrylic Beads, Flat Oval, two tone, more colors for choice, 37x59x11mm, Hole:Approx 2mm, Sold By PC",100000015,52,200,3.47,more colors for choice,Acrylic,37x59x11mm,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140117175357,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1389950111722952_560.jpg""/>",/1389950111722952_560.jpg
"Natural Lapis Lazuli Beads, Round, more sizes for choice, A Grade, Sold Per 15.5 Inch Strand",100000015,52,200,3.47,red,Acrylic,,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,70824030537,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1331538486990413_103.jpg""/>",/1331538486990413_103.jpg
"Acrylic Slide Charm, Heart, UV plating, different size for choice &amp; Customized &amp; two tone, Hole:Approx 3x13mm, Sold By PC",100000015,52,200,3.47,red,Acrylic,,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140118183823,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1390039362780166_533.jpg""/>",/1390039362780166_533.jpg
"UV Plating Acrylic Beads, Flat Round, with flower pattern &amp; enamel, more colors for choice, 53x10mm, Hole:Approx 2mm, Sold By PC",100000015,52,200,3.47,more colors for choice,Acrylic,53x10mm,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140117180316,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1389950799885663_560.jpg""/>",/1389950799885663_560.jpg
"Acrylic Slide Charm, Flat Round, UV plating, different size for choice &amp; Customized &amp; two tone, Hole:Approx 3x13mm, Sold By PC",100000015,52,200,3.47,red,Acrylic,,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140118183556,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1390039251365922_533.jpg""/>",/1390039251365922_533.jpg
"UV Plating Acrylic Beads, Heart, different size for choice &amp; Customized, Hole:Approx 2mm, Sold By PC",100000015,52,200,3.47,red,Acrylic,,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140118181142,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1390037756191048_533.jpg""/>",/1390037756191048_533.jpg
"Acrylic Bead Setting, Butterfly, UV plating, two tone, 61x47x14mm, Hole:Approx 2mm, Sold By PC",100000015,52,200,3.47,red,Acrylic,61x47x14mm,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140117165550,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1390027795581968_560.jpg""/>",/1390027795581968_560.jpg
"Acrylic Slide Charm, Oval, UV plating, different size for choice &amp; Customized &amp; two tone, Hole:Approx 3x13mm, Sold By PC",100000015,52,200,3.47,red,Acrylic,,,"2.2mm( 1/8"""")",,200000181,251458098,Moregets,140118183459,Acrylic Cabochons,TRUE,444,200003774,"<img src=""gets_sales/1390039075808181_533.jpg""/>",/1390039075808181_533.jpg
